"Project_Name","Scope of work","Functions","Category","Role","Duration_Months","Year","Client_Company","Location","Longitud","Latitud","image_link","Skills","Software","Industry","Country","Feature"
"POT Pitalito","Formulation of a new Territorial Zoning Plan for the municipality of Pitalito – Department of Huila","Georeference the elements of the Territorial Zoning Plan (POT) in shapefiles and generate thematic maps","Design/Consulting","[""Auxiliar / Intern""]","12","2/2/2014 9:00 PM","Universidad Nacional de Colombia","Pitalito, Huila","-76.046194","1.856234","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1755566645/01_auigq8.jpg","[""GIS""]","[""ArcGIS""]","Transportation","Colombia",
"Plan Movilidad Riosucio","Municipal Mobility Plan for the municipality of Riosucio, Department of Caldas","Conduct household surveys for the development of the Origin-Destination matrix.
Calculate average travel times (Global Mean Accessibility method)
 Calculo de tiempos medios de viaje (método accesibilidad media global)","Design/Consulting","[""Auxiliar / Intern""]","12","2/2/2015 9:00 PM","Universidad Nacional de Colombia","Riosucio, Caldas","-75.702739","5.420466","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1755566649/02_hcn4nc.jpg","[""Survey"",""Network Analysis"",""CAD Drafting"",""GIS"",""Dashboard""]","[""AutoCAD"",""ArcGIS"",""TransCAD"",""Golden Software""]","Transportation","Colombia",
"Frans's Project","Residential Outdoor Living Design including landscaping, hardscaping, gardens, pathways and sitting areas for a 1.50 acres property","Coordinate with landscaping contractor, client and landscaping architect the outdoor living design.","Design/Consulting","[""CEO"",""Project Manager"",""Designer / Consulter""]","3","2/11/2023 9:00 PM","Kronos GMT","Celebration, Florida","-81.655078","28.3342","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1755566847/03_mwllf1.jpg","[""Landscaping Design"",""3D Render""]","[""AutoCAD"",""Sketchup"",""Lumion""]","Landscaping","Unite States",
"Architectural Design and Civil Works","Learn AutoCAD for architecture, survey and Civil Engineer purposes.
Principes of architecture design
Descriptive Geometric","Create Mechanical pieces, Architectural Plans, Survey & Topography, Structural Details, 3D Modeling","Academic","[""Student""]","24","2/4/2008 9:00 PM","Instituto Tecnico Superior de Pereria","Pereira, Risaralda","-75.68864","4.796676",,"[""CAD Drafting"",""3D Render""]","[""AutoCAD""]","Architecture","Colombia",
"Transversal Central del Pacífico Project","Comprehensive Supervision, including but not limited to technical, legal, financial, administrative, social management, land management, and environmental oversight for the improvement of the TRANSVERSAL DEL PACÍFICO CORRIDOR PROJECT – PHASE II, under the Priority Corridors for Prosperity program. (Corridor length: 57.3 km)","Prepare the monthly supervision reports (pre-acts).
Review the geometric elements of the road with the surveyors, once the compaction of the granular layers was approved.
Review and monitor laboratory tests on granular materials and the project's concrete.","Construction","[""Civil Engineer""]","4","8/13/2016 9:00 PM","Compañia Colombiana de Consultores","Tado, Choco","-76.379365","5.299953","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1755566651/05_jacjpf.jpg","[""Survey"",""Construction Quality Control"",""Laboratory Testing"",""Slope Stability""]","[""AutoCAD Civil 3D"",""Microsoft Project"",""Excel""]","Transportation","Colombia",
"Opalo - Hydraulic Design","Hydraulic Design for Erosion Control at the Opalo Residential Complex.","Analyze IDF curves and topography survey to determine the slope runoff flow rate.
Design hydraulic structures.
Draft construction plans.
Prepare the final report","Design/Consulting","[""Designer / Consulter""]","3","5/5/2016 9:00 PM","La Joya - Complex","Guayaquil, Ecuador","-79.914872","-2.026569","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1755566650/06_dz4mcf.png","[""CAD Drafting"",""Hydraulic"",""Hydrology"",""Erosion Control"",""Slope Stability""]","[""AutoCAD"",""Excel""]","Hydraulic","Ecuador",
"Tunel Egoya","Performed soil drilling, unconfined compression tests, direct shear tests, Atterberg limits, and natural moisture content analysis. Designed and supervised soil improvement using grouting techniques, conducted data analysis, and prepared detailed technical reports during preconstruction stage and prepare documentation for construction quality control.","Coordinated the drilling team and soil laboratory technicians, and performed settlement analysis using finite element modeling to evaluate soil improvement after pressure grouting injection.","Design-Build","[""Civil Engineer"",""Designer / Consulter"",""Project Manager""]","4","4/14/2018 9:00 PM","Terralab S.A","Pereira, Risaralda","-75.694907","4.810499","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1755566649/tunel_egoya_xwbnxq.jpg","[""Slope Stability"",""Settlement Analysis"",""Soil Analysis"",""Project Management"",""Leadership""]","[""Microsoft Project"",""Excel"",""GeoSlope"",""Phase2""]","Geotechnics","Colombia",
"Pasabocas Patty","Interdisciplinary technical site visits for reconnaissance and exploration.
Collection and analysis of available secondary information.
Planning and execution of a direct geotechnical exploration program, including five (5) boreholes distributed across the study area.
Identification of the materials forming the soil profile through direct methods, in order to obtain the physical and mechanical properties of the soils.
Identification of local geology.
Hydraulic modeling of the San Roque Creek.","Coordinate the soil study, analyze the samples and laboratory results, model the slope and its critical failure surface, and design the slope stabilization works.","Design-Build","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","2","1/4/2018 9:00 PM","2Rios Ingenieria SAS","Santa Rosa, Risaralda","-75.632307","4.868204","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1755566648/08_kye4gl.jpg","[""Slope Stability"",""Erosion Control""]","[""Slide"",""GeoSlope"",""Phase2"",""ArcGIS"",""AutoCAD Civil 3D""]","Geotechnics","Colombia",
"El Cairo Pool","Construction & Design of an Infinity Pool","Geotechnical works designer, construction supervision","Design-Build","[""Civil Engineer"",""Project Manager"",""Designer / Consulter""]","3","2/9/2017 9:00 PM","Terralab S.A","Pereira, Risaralda","-75.779381","4.793759","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1755566853/Piscina_El_Cairo_1_vfuikl.jpg","[""Slope Stability"",""Project Management"",""Supervision""]","[""AutoCAD Civil 3D"",""Microsoft Project"",""Slide""]","Geotechnics","Colombia",
"Conectante","Study of traffic projection for the calculation of capacity and level of service along the section between Km 30+629.527 and Km 31+520.097 of National Route 29RSC, at a Phase III level of detail, including the corresponding analysis from a road safety perspective.
Definition of the criteria, parameters, and values governing geometric design elements, road signage, and road safety diagnosis (Phase III), which constitute the roadway studies and designs required for the construction and operation of the corridor.
Execution of the studies and designs for the improvement of the existing roadway and the design of its expansion to a dual carriageway from Km 30+630 to the intersection connecting with the Chinchiná – Manizales road of Route 29RSC.","Design reviewer, Project monitoring and control in quality, schedule, and budget","Design-Build","[""Civil Engineer"",""Project Manager""]","18","5/5/2019 9:00 PM","Autopistas del Cafe S.A.","Chinchina, Caldas","-75.617249","4.942125","https://res.cloudinary.com/dmf2pbdlq/image/upload/v1755566655/conectante_0_zkdxq2.jpg","[""Supervision"",""Project Management"",""Leadership"",""Comunication""]","[""Microsoft Project"",""Microsoft Teams"",""Excel"",""AutoCAD Civil 3D""]","Transportation","Colombia",
